username	main	talk	user	usertalk
Emmillym	1	0	0	0
Emsnba	1	0	0	0
Endimion17	1	0	0	0
Englishman81	3	0	0	0
Entail	1	3	0	0
Eopin	8	0	0	0
Eric12	9	0	0	0
Erifnam	1	2	2	0
Erik Carson	3	0	0	0
Erikupoeg	4388	639	45	72
Erkiheiki	1	0	0	0
Esarahurst	4	0	0	0
ESPNUpdates	2	0	0	0
Estambouly	1	0	0	0
Esydor	7	0	0	2
EthicalSEO	1	0	0	0
Ettbenmedlitenta	1	0	0	0
Evalina	2	0	0	0
Evanco	4	0	0	0
Evandaeman	12	0	0	0
Ewatson989	1	0	0	0
Ex-User777	555	2	1	17
Exciterwriter	18	0	0	0
Excla!m	2	0	0	0
ExplorerAlum	16	0	0	0
Ezgi.Mercan	1	0	0	0
F.mobile	2	0	0	0
Fabianhow	2	0	0	0
Fabis94	3	0	0	0
Fabouluz	1	0	0	0
Factoids	1	0	0	0
Factswuzzup	8	0	0	0
Fais31	1	0	0	0
Faith Howard	5	0	0	0
Faithpie714	1	0	0	0
Fakedarren	3	0	0	0
Falkele	2	0	0	0
FarfromHvar	26	0	4	3
Febcom	1	0	0	0
Felixoflaherty	1	0	0	0
FFall1986	59	0	0	11
Fguetl	2	0	0	0
Fibrosis	4	0	0	0
FiftyDeadMenWalking	59	1	2	10
FileAnt	1	0	0	0
Filibuster777	1	0	0	0
Fincir	1	0	0	0
Fingrmouse	1	0	0	0
Firecatman	1	0	0	0
Firetank2	10	0	0	0
Fishingtackle	2	0	0	0
Fishyboy1209	3	0	0	0
Fixer72	2	0	0	0
Fixthisquestion	1	0	0	0
FlamethrowerGamethrower	7	0	0	0
FLarsen	2	0	0	0
Flashbax	1	0	0	0
Floboalexander	1	0	0	0
Fluffy Queen Jr	5	0	0	0
Fluffyhead69	2	0	0	0
Flyingxan	2	0	0	0
Foncea	3	0	0	0
Forensic8600	2	0	0	0
Fourijm	1	0	0	0
Framapro	1	0	0	0
FrancisFletcher	2	0	0	0
Frank-Tobin	2	0	0	0
Frankieyuan	1	0	0	0
Freakygirlhere	3	0	0	0
Frederick 100000	1	0	0	0
Frederick of Sicily	1	0	0	0
FreeTheSquid	1	0	0	0
Freetime000	1	0	0	0
Fridaholic	1	0	0	0
Fridays Child is Full of Grace	7	0	0	0
Friedamoscow	1	0	0	0
Friedmannpw	2	0	0	0
FriendsofBorges	3	0	0	0
Frittler	1	0	0	0
Frozensky	1	0	0	0
Fruitgirl123	1	0	0	0
Fsafinia	5	0	0	0
FSUlawalumni	6	0	0	0
Ftanoh	2	0	0	0
Funaticdude	2	0	0	0
Fundamentisto	32	3	1	0
Funkypubs	3	0	1	0
FunnyBunny10	3	0	0	0
FuNRtux6	1	0	0	0
Fushigi-kun	6	0	0	0
Futonboy	2	0	0	0
Futureprez48	2	0	0	0
Fuzzon	4	0	0	0
Fwuori	2	0	0	0
G Jreb	1	0	0	0
G4vvz	1	0	0	0
